,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
74,2022-11-16,283.2960503127424,258.56750893804724,306.82863448099147,283.2960503127424,283.2960503127424,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,-0.6385461912612258,0.0,0.0,0.0,282.65750412148117
75,2022-11-17,284.0249730315416,261.7783659492387,307.90598895422886,284.0249730315416,284.0249730315416,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.28614327020357166,0.0,0.0,0.0,284.3111163017452
76,2022-11-18,284.75389575034086,261.6332746588509,307.7323005022173,284.75389575034086,284.75389575034086,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,-0.2024667917123469,0.0,0.0,0.0,284.5514289586285
77,2022-11-21,286.94066390673856,261.707371893798,309.4337255443216,286.94066390673856,286.94066390673856,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,-1.4859182363955605,0.0,0.0,0.0,285.454745670343
78,2022-11-22,287.6695866255379,260.4685033099629,308.44704424153804,287.6695866255379,287.6695866255379,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,-2.9261513560969665,0.0,0.0,0.0,284.7434352694409
79,2022-11-23,288.39850934433707,264.66538970615676,312.09644923969864,288.39850934433707,288.39850934433707,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,-0.6385461912689923,0.0,0.0,0.0,287.7599631530681
80,2022-11-25,289.8563547819355,265.606902340279,312.95231668509695,289.8563547819355,289.8563547819355,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,-0.20246679171159201,0.0,0.0,0.0,289.65388799022395
81,2022-11-28,292.0431229972465,266.99655738936417,314.86046927446864,292.0431229972465,292.0431229972465,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,-1.485918236382505,0.0,0.0,0.0,290.55720476086395
82,2022-11-29,292.7720457356835,265.93359448591,314.05157361049464,292.7720457356835,292.7720457356835,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,-2.9261513560957493,0.0,0.0,0.0,289.8458943795877
83,2022-11-30,293.50096847412044,267.3947158855154,316.79683359187806,293.50096847412044,293.50096847412044,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,-0.6385461912666834,0.0,0.0,0.0,292.86242228285374
84,2022-12-01,294.22989121255745,271.13589791840525,318.20152786096327,294.22989121255745,294.22989121255745,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.28614327020235447,0.0,0.0,0.0,294.5160344827598
85,2022-12-02,294.9588139509944,270.7237802388241,318.4754526555596,294.9588139509944,294.9588139509944,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,-0.20246679171066348,0.0,0.0,0.0,294.75634715928373
86,2022-12-05,297.14558216630536,270.60787054693657,318.4439114480807,297.14558216630536,297.14558216630536,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,-1.4859182363857313,0.0,0.0,0.0,295.65966392991965
